order_date,store_id,total_orders,total_revenue,avg_delivery_mins,late_deliveries,total_stockouts,cancelled_orders
2025-07-19,STR002,14,7366.77,14.36,8,6,0
2025-06-15,STR025,14,5552.43,17.57,11,2,0
2025-07-28,STR012,13,5303.02,18.69,12,2,1
2025-08-30,STR020,15,10901.53,19.0,9,2,1
2026-05-12,STR002,16,6900.64,15.94,8,6,0
2026-01-01,STR009,17,9184.27,14.12,8,4,2
2026-02-10,STR030,14,8139.87,19.64,11,1,0
2026-03-28,STR026,7,2410.38,16.0,4,1,2
2026-04-16,STR014,13,4932.68,17.0,8,3,1
2025-07-14,STR019,10,8581.64,13.7,8,1,3
2026-02-10,STR006,16,10009.08,13.81,10,2,1
2026-03-24,STR014,12,7447.47,19.25,8,2,1
2026-01-01,STR021,14,8017.7,18.57,7,4,3
2026-02-19,STR024,11,4969.58,18.36,8,2,0
2026-04-08,STR003,15,5163.3,15.33,11,5,1
2025-08-12,STR015,15,10644.6,17.8,7,4,3
2025-09-09,STR019,18,10004.21,18.39,12,4,2
2025-08-24,STR015,16,10437.96,16.69,10,5,1
2026-03-05,STR002,16,12318.28,17.31,9,5,3
2025-10-17,STR013,12,6815.42,17.67,8,1,0
2025-12-19,STR009,11,5916.73,19.64,7,5,0
2026-03-20,STR019,11,5766.89,16.0,5,1,2
2026-04-09,STR004,8,3137.99,20.63,7,1,0
2026-02-14,STR003,11,5014.05,16.0,8,1,0
2025-08-23,STR019,11,5231.21,17.18,8,1,1
2025-11-28,STR004,11,4289.32,18.55,7,4,2
2025-12-11,STR015,18,11267.91,18.44,12,4,3
2025-06-08,STR013,12,6714.09,18.17,9,1,2
2026-03-18,STR013,14,9294.06,13.29,7,0,1
2026-02-06,STR026,11,6446.96,15.64,6,0,0
2025-08-04,STR013,17,6095.23,13.76,8,2,1
2025-06-21,STR009,12,6081.5,23.17,9,3,0
2026-01-21,STR025,17,9203.06,19.47,13,3,3
2025-11-04,STR002,14,9397.4,13.5,7,3,4
2026-04-02,STR001,12,8303.49,21.25,9,4,0
2025-07-01,STR022,16,7261.73,15.19,10,3,0
2025-11-01,STR018,11,6130.36,21.55,8,3,2
2026-03-10,STR007,14,5779.51,15.14,9,1,1
2025-07-07,STR024,12,6486.28,17.5,10,2,2
2025-07-18,STR024,16,8789.07,13.94,9,6,5
