rider_id,total_deliveries,avg_delivery_mins,late_deliveries,late_delivery_pct,total_revenue_handled
RDR376,277,16.34,182,65.7,157253.7
RDR175,279,15.93,171,61.29,141323.72
RDR232,275,17.36,181,65.82,148348.52
RDR120,277,16.3,167,60.29,137236.24
RDR006,276,16.81,166,60.14,165173.0
RDR404,282,17.0,182,64.54,133964.96
RDR310,273,17.52,175,64.1,143959.02
RDR065,273,16.52,172,63.0,145796.28
RDR246,300,16.52,189,63.0,163084.41
RDR255,289,16.84,179,61.94,144036.15
RDR418,280,17.0,178,63.57,142973.72
RDR107,269,16.46,168,62.45,135590.48
RDR103,299,15.81,168,56.19,157671.52
RDR126,274,16.35,171,62.41,143701.16
RDR248,289,16.41,186,64.36,158619.58
RDR178,282,16.15,179,63.48,131564.4
RDR319,283,16.48,173,61.13,164811.31
RDR351,301,16.87,177,58.8,151457.81
RDR071,296,16.51,182,61.49,160009.41
RDR155,283,16.43,179,63.25,144187.28
RDR341,263,16.53,170,64.64,138701.84
RDR030,259,17.33,169,65.25,146934.12
RDR338,276,16.32,172,62.32,148890.46
RDR208,279,16.06,168,60.22,146186.77
RDR464,255,16.02,153,60.0,141170.19
RDR362,289,16.25,174,60.21,142730.22
RDR095,274,17.2,171,62.41,144207.92
RDR244,274,16.25,157,57.3,156964.09
RDR446,293,15.48,180,61.43,153366.54
RDR495,302,17.34,197,65.23,156359.4
RDR042,283,16.79,184,65.02,143195.93
RDR258,286,16.62,183,63.99,143553.69
RDR002,278,16.37,170,61.15,145802.71
RDR263,300,16.77,191,63.67,167468.46
RDR261,278,16.82,186,66.91,142387.43
RDR011,271,15.72,161,59.41,123931.63
RDR058,260,16.38,150,57.69,134042.49
RDR407,289,15.34,164,56.75,135948.05
RDR352,275,16.27,161,58.55,145740.73
RDR345,289,16.46,182,62.98,151652.82
RDR078,249,16.9,156,62.65,122995.34
RDR336,267,17.62,163,61.05,138952.08
RDR281,265,16.34,167,63.02,127207.82
RDR193,284,16.5,176,61.97,149712.97
RDR239,272,16.34,170,62.5,146592.37
RDR221,288,15.77,182,63.19,140808.15
RDR212,252,17.88,161,63.89,122493.75
RDR142,247,17.09,156,63.16,138862.73
RDR247,290,16.39,166,57.24,145590.76
RDR238,267,17.47,177,66.29,147546.29
RDR070,264,16.8,165,62.5,138520.94
RDR461,276,16.29,168,60.87,127917.56
RDR040,278,15.71,167,60.07,162262.96
RDR132,274,17.59,189,68.98,131643.3
RDR191,271,15.83,166,61.25,150004.66
RDR259,278,16.81,176,63.31,148323.26
RDR134,235,16.65,142,60.43,114516.05
RDR027,264,17.08,168,63.64,136266.1
RDR190,270,16.11,154,57.04,139604.31
RDR475,275,16.26,157,57.09,138768.08
RDR081,268,16.15,163,60.82,132698.86
RDR171,280,15.38,161,57.5,142214.23
RDR112,296,16.95,194,65.54,160498.67
RDR090,301,16.17,173,57.48,163238.5
