store_id,total_orders,total_revenue,avg_delivery_mins,late_deliveries,late_delivery_pct,total_stockouts,stockout_pct,cancelled_orders
STR028,4889,2532191.61,16.47,3049,62.36,1027,21.01,477
STR007,4792,2491820.62,16.29,2957,61.71,972,20.28,478
STR010,4938,2553305.63,16.48,3094,62.66,984,19.93,479
STR016,5010,2611521.48,16.49,3067,61.22,1031,20.58,523
STR018,4827,2554643.67,16.72,3012,62.4,1006,20.84,484
STR020,4970,2604620.02,16.7,3130,62.98,1028,20.68,479
STR025,4643,2383761.61,16.42,2886,62.16,956,20.59,498
STR009,4861,2535423.41,16.52,2984,61.39,1008,20.74,489
STR013,4864,2540568.96,16.58,3044,62.58,981,20.17,508
STR006,4916,2567260.66,16.58,3040,61.84,984,20.02,519
STR021,4851,2568633.95,16.74,3030,62.46,1008,20.78,527
STR012,4760,2441622.3,16.59,2958,62.14,945,19.85,527
STR030,4874,2546543.14,16.39,3027,62.11,962,19.74,542
STR008,4929,2577119.89,16.58,3037,61.61,1003,20.35,530
STR019,4864,2536456.48,16.73,3033,62.36,1010,20.76,480
STR001,4844,2534190.63,16.69,3019,62.32,979,20.21,485
STR004,4807,2466518.66,16.23,2899,60.31,1006,20.93,493
STR029,4848,2522203.75,16.37,3019,62.27,1037,21.39,506
STR015,4829,2525270.44,16.53,3051,63.18,970,20.09,477
STR023,4773,2443591.1,16.53,2946,61.72,1038,21.75,506
STR026,4915,2495288.43,16.42,2973,60.49,1058,21.53,435
STR027,4882,2491093.03,16.75,3082,63.13,1046,21.43,505
STR017,4931,2555184.06,16.66,3091,62.69,1032,20.93,480
STR011,4927,2648911.99,16.57,3074,62.39,1061,21.53,491
STR024,4836,2507038.36,16.27,2944,60.88,983,20.33,483
STR005,4802,2502476.57,16.6,2960,61.64,991,20.64,440
STR003,4811,2475323.21,16.72,3004,62.44,1006,20.91,491
STR002,4854,2522440.67,16.6,2999,61.78,1011,20.83,482
STR022,4805,2400032.28,16.51,2983,62.08,988,20.56,478
STR014,4726,2465634.25,16.48,2914,61.66,968,20.48,477
