order_id,customer_id,store_id,rider_id,product_id,order_date,order_time,quantity,unit_price,total_amount,promised_delivery_mins,actual_delivery_mins,order_status,is_stockout,payment_method,is_late_delivery
ORD000001,CUST1413,STR007,RDR036,PRD020,2026-01-12,07:43:23,1,109.11,109.11,10,99,Delivered,0,Card,1
ORD000002,CUST0318,STR030,,PRD012,2025-06-09,12:22:06,5,38.12,190.6,10,10,Delivered,0,Card,0
ORD000003,CUST3725,STR030,RDR173,PRD007,2025-07-21,09:51:59,4,267.09,1068.36,10,15,Delivered,0,Card,1
ORD000004,CUST3936,STR026,RDR472,PRD032,2026-05-06,20:07:42,2,141.19,282.38,10,10,Delivered,0,COD,0
ORD000005,CUST3493,STR013,RDR150,PRD035,2025-09-09,09:54:33,2,171.72,343.44,10,16,Delivered,0,UPI,1
ORD000006,CUST4813,STR024,RDR158,PRD019,2025-08-24,07:31:06,1,238.28,238.28,10,19,Delivered,0,Wallet,1
ORD000007,CUST4293,STR028,RDR261,PRD035,2025-08-26,16:47:03,1,171.72,171.72,10,22,Delivered,0,UPI,1
ORD000008,CUST3126,STR007,,PRD014,2025-07-31,07:58:13,4,69.5,278.0,10,26,Delivered,0,Wallet,1
ORD000009,CUST3464,STR022,RDR133,PRD026,2025-11-19,18:00:57,1,48.41,48.41,10,26,Delivered,1,Card,1
ORD000010,CUST3240,STR002,RDR321,PRD018,2025-08-23,15:13:56,2,152.02,304.04,10,15,Delivered,0,Card,1
ORD000011,CUST3263,STR010,RDR477,PRD021,2026-03-29,10:04:40,2,192.65,385.3,10,26,Cancelled,0,Card,1
ORD000012,CUST0312,STR027,RDR118,PRD009,2026-03-14,18:06:48,5,226.47,1132.35,10,27,Returned,0,UPI,1
ORD000013,CUST1252,STR011,RDR008,PRD033,2025-08-08,08:15:27,2,346.12,692.24,10,16,Delivered,0,COD,1
ORD000014,CUST3609,STR003,RDR013,PRD015,2026-05-29,09:22:29,2,31.95,63.9,10,11,Delivered,1,COD,1
ORD000015,CUST0315,STR005,RDR190,PRD035,2025-09-05,15:35:10,1,171.72,171.72,10,8,Delivered,0,Wallet,0
ORD000016,CUST3163,STR010,RDR331,PRD003,2026-05-31,06:24:00,5,147.17,735.85,10,11,Delivered,0,Card,1
ORD000017,CUST1429,STR013,RDR327,PRD010,2025-08-31,10:43:31,4,275.23,1100.92,10,32,Delivered,0,Wallet,1
ORD000018,CUST3450,STR029,RDR208,PRD015,2025-07-19,17:47:01,4,31.95,127.8,10,9,Delivered,0,UPI,0
ORD000019,CUST2978,STR029,RDR374,PRD016,2025-07-22,20:24:29,2,40.49,80.98,10,16,Delivered,0,UPI,1
ORD000020,CUST1284,STR022,RDR456,PRD020,2025-06-23,19:23:41,5,109.11,545.55,10,9,Delivered,0,UPI,0
ORD000021,CUST3370,STR011,RDR078,PRD037,2026-03-11,11:28:01,2,490.51,981.02,10,10,Delivered,0,UPI,0
ORD000022,CUST0433,STR011,,PRD003,2026-01-16,10:48:59,1,147.17,147.17,10,40,Delivered,0,COD,1
ORD000023,CUST4603,STR006,RDR052,PRD038,2025-12-22,19:12:47,4,163.26,653.04,10,30,Delivered,0,Wallet,1
ORD000024,CUST0796,STR025,RDR228,PRD018,2025-12-09,20:07:34,2,152.02,304.04,10,17,Returned,0,UPI,1
ORD000025,CUST4644,STR012,RDR485,PRD038,2025-08-13,21:24:30,5,163.26,816.3,10,11,Delivered,1,COD,1
ORD000026,CUST4939,STR026,RDR182,PRD013,2025-06-24,17:04:11,3,84.94,254.82,10,20,Delivered,1,UPI,1
ORD000027,CUST2156,STR015,RDR157,PRD032,2026-05-25,19:10:23,3,141.19,423.57,10,9,Cancelled,0,Wallet,0
ORD000028,CUST3182,STR002,RDR195,PRD001,2025-10-31,18:47:48,5,69.79,348.95,10,10,Delivered,0,Card,0
ORD000029,CUST0695,STR026,RDR231,PRD017,2026-02-27,20:21:23,5,237.61,1188.05,10,17,Delivered,0,Card,1
ORD000001,CUST0577,STR005,RDR175,PRD016,2025-08-15,08:01:51,1,40.49,40.49,10,8,Cancelled,0,Card,0
ORD000031,CUST1910,STR007,,PRD006,2025-06-24,20:40:55,2,266.42,532.84,10,9,Delivered,0,UPI,0
ORD000032,CUST1515,STR017,RDR227,PRD031,2025-07-01,19:40:33,3,188.39,565.17,10,18,Delivered,0,UPI,1
ORD000033,CUST4853,STR010,RDR429,PRD012,2025-07-12,10:16:09,3,38.12,114.36,10,20,Delivered,0,Card,1
ORD000034,CUST0495,STR020,RDR177,PRD017,2026-03-19,15:13:27,3,237.61,712.83,10,9,Delivered,0,COD,0
ORD000035,CUST3936,STR012,RDR184,PRD039,2026-04-11,21:00:47,1,544.0,544.0,10,12,Delivered,1,UPI,1
ORD000036,CUST3805,STR015,RDR238,PRD030,2026-05-11,16:34:47,3,34.77,104.31,10,8,Cancelled,0,UPI,0
ORD000037,CUST1507,STR007,RDR304,PRD001,2025-10-21,18:26:01,4,69.79,279.16,10,33,Delivered,0,UPI,1
ORD000038,CUST3565,STR028,RDR222,PRD036,2025-11-18,09:17:21,3,638.68,1916.04,10,11,Delivered,0,UPI,1
ORD000020,CUST2545,STR022,RDR174,PRD032,2025-11-11,07:22:06,2,141.19,282.38,10,16,Delivered,0,Card,1
ORD000040,CUST1913,STR030,RDR168,PRD005,2025-11-14,10:33:18,1,91.22,91.22,10,43,Delivered,0,COD,1
ORD000041,CUST2041,STR016,RDR122,PRD021,2026-01-19,21:50:17,5,192.65,963.25,10,39,Returned,0,Card,1
ORD000042,CUST3683,STR013,RDR035,PRD030,2026-01-07,16:32:56,5,34.77,173.85,10,8,Cancelled,0,COD,0
ORD000043,CUST4955,STR029,RDR161,PRD031,2025-11-07,14:45:09,5,188.39,941.95,10,9,Delivered,0,Card,0
ORD000044,CUST0090,STR010,RDR437,PRD033,2026-05-16,12:59:38,3,346.12,1038.36,10,12,Delivered,0,UPI,1
ORD000045,CUST2241,STR015,RDR056,PRD029,2025-09-21,07:01:41,4,59.97,239.88,10,17,Delivered,1,UPI,1
ORD000046,CUST0209,STR021,RDR282,PRD036,2025-12-22,20:18:10,4,638.68,2554.72,10,31,Delivered,0,UPI,1
ORD000047,CUST4283,STR006,RDR053,PRD004,2026-04-11,09:20:39,2,101.73,203.46,10,15,Delivered,0,Wallet,1
ORD000048,CUST0733,STR027,RDR422,PRD034,2025-06-09,19:22:21,4,250.91,1003.64,10,31,Delivered,0,UPI,1
ORD000049,CUST1128,STR017,RDR446,PRD003,2026-02-17,18:14:15,1,147.17,147.17,10,8,Delivered,1,UPI,0
ORD000050,CUST2863,STR023,RDR004,PRD003,2025-10-20,20:01:32,2,147.17,294.34,10,18,Delivered,0,UPI,1
ORD000051,CUST4978,STR009,RDR104,PRD019,2026-06-02,22:57:53,3,238.28,714.84,10,8,Delivered,0,UPI,0
ORD000052,CUST1685,STR007,RDR055,PRD033,2026-05-24,18:25:07,4,346.12,1384.48,10,10,Delivered,0,COD,0
ORD000053,CUST2539,STR001,RDR013,PRD015,2026-02-18,15:53:44,5,31.95,159.75,10,14,Cancelled,0,UPI,1
ORD000054,CUST2036,STR003,RDR342,PRD011,2025-08-06,19:13:31,4,37.93,151.72,10,17,Delivered,1,Card,1
ORD000055,CUST3055,STR003,RDR217,PRD011,2026-05-26,06:39:03,1,37.93,37.93,10,8,Delivered,0,UPI,0
ORD000056,CUST3904,STR006,RDR016,PRD014,2025-06-22,15:49:02,1,69.5,69.5,10,8,Cancelled,1,UPI,0
ORD000057,CUST4075,STR014,,PRD010,2025-10-07,10:29:55,2,275.23,550.46,10,10,Delivered,0,COD,0
ORD000058,CUST3670,STR026,RDR121,PRD013,2026-03-15,07:36:57,3,84.94,254.82,10,45,Delivered,0,UPI,1
ORD000059,CUST3042,STR024,RDR338,PRD039,2025-10-13,19:35:44,3,544.0,1632.0,10,43,Delivered,0,Card,1
ORD000060,CUST1128,STR011,RDR130,PRD032,2026-02-11,19:26:11,5,141.19,705.95,10,17,Delivered,0,Wallet,1
ORD000061,CUST4700,STR005,RDR436,PRD010,2026-01-20,20:48:34,5,275.23,1376.15,10,13,Delivered,1,Wallet,1
ORD000062,CUST2744,STR016,RDR364,PRD017,2026-04-30,18:05:52,5,237.61,1188.05,10,12,Delivered,0,UPI,1
ORD000063,CUST1543,STR023,RDR356,PRD027,2026-01-04,17:35:59,1,76.58,76.58,10,19,Delivered,0,UPI,1
ORD000064,CUST0133,STR001,RDR013,PRD020,2025-07-23,22:51:06,2,109.11,218.22,10,13,Delivered,0,UPI,1
ORD000065,CUST3920,STR021,RDR302,PRD020,2025-10-26,08:04:16,3,109.11,327.33,10,120,Delivered,0,Card,1
ORD000066,CUST4017,STR001,RDR486,PRD035,2025-12-11,21:02:31,1,171.72,171.72,10,9,Delivered,0,UPI,0
ORD000067,CUST0282,STR011,RDR241,PRD007,2026-02-05,08:30:16,4,267.09,1068.36,10,10,Delivered,1,UPI,0
ORD000068,CUST4629,STR013,RDR357,PRD002,2026-04-23,20:13:39,5,39.96,199.8,10,12,Delivered,0,COD,1
ORD000069,CUST0630,STR007,RDR496,PRD003,2025-07-11,07:16:37,3,147.17,441.51,10,8,Delivered,0,UPI,0
ORD000070,CUST0952,STR004,RDR467,PRD038,2025-07-26,20:49:47,4,163.26,653.04,10,13,Delivered,0,UPI,1
ORD000071,CUST3460,STR003,RDR360,PRD035,2025-09-07,07:28:31,1,171.72,171.72,10,17,Delivered,1,UPI,1
ORD000072,CUST0548,STR026,RDR245,PRD013,2025-06-29,19:30:25,4,84.94,339.76,10,10,Delivered,0,Card,0
ORD000068,CUST4347,STR001,RDR300,PRD024,2026-03-16,09:35:02,1,170.15,170.15,10,14,Delivered,0,UPI,1
ORD000074,CUST1197,STR022,RDR037,PRD012,2025-08-12,16:58:15,4,38.12,152.48,10,14,Delivered,0,UPI,1
ORD000075,CUST2626,STR025,RDR022,PRD024,2025-12-27,08:30:32,2,170.15,340.3,10,8,Delivered,1,UPI,0
ORD000076,CUST4271,STR010,RDR307,PRD033,2025-10-03,19:25:28,4,346.12,1384.48,10,44,Delivered,0,UPI,1
ORD000077,CUST2798,STR010,RDR470,PRD024,2026-05-06,07:26:04,3,170.15,510.45,10,43,Delivered,0,COD,1
ORD000078,CUST0746,STR023,RDR173,PRD036,2026-05-07,15:54:30,5,638.68,3193.4,10,18,Delivered,0,UPI,1
ORD000079,CUST2745,STR017,RDR423,PRD021,2025-10-08,08:16:40,2,192.65,385.3,10,15,Delivered,0,Card,1
ORD000080,CUST1421,STR004,RDR267,PRD024,2025-09-26,20:42:42,5,170.15,850.75,10,25,Delivered,0,Card,1
ORD000081,CUST1199,STR009,RDR175,PRD026,2025-09-11,13:13:38,4,48.41,193.64,10,16,Delivered,0,Card,1
ORD000082,CUST2177,STR002,RDR102,PRD030,2025-07-19,20:52:35,5,34.77,173.85,10,9,Delivered,1,Wallet,0
ORD000083,CUST1044,STR026,RDR138,PRD004,2026-03-23,21:38:06,1,101.73,101.73,10,17,Delivered,0,UPI,1
ORD000084,CUST2186,STR030,RDR293,PRD018,2026-03-12,19:13:02,3,152.02,456.06,10,10,Delivered,0,Card,0
ORD000085,CUST2210,STR026,RDR380,PRD014,2025-08-05,10:01:35,5,69.5,347.5,10,10,Delivered,1,UPI,0
ORD000086,CUST3168,STR015,RDR435,PRD001,2025-11-02,20:14:15,2,69.79,139.58,10,26,Delivered,1,UPI,1
ORD000087,CUST3578,STR026,RDR252,PRD025,2025-11-10,08:26:45,1,83.55,83.55,10,18,Delivered,0,COD,1
ORD000088,CUST3319,STR009,RDR181,PRD039,2025-10-08,07:31:32,4,544.0,2176.0,10,17,Delivered,0,UPI,1
ORD000089,CUST3575,STR024,RDR252,PRD029,2026-04-02,10:24:38,1,59.97,59.97,10,42,Delivered,0,UPI,1
ORD000090,CUST0298,STR013,RDR434,PRD015,2025-06-17,20:16:22,5,31.95,159.75,10,32,Delivered,0,UPI,1
ORD000091,CUST1524,STR008,RDR446,PRD017,2026-02-28,08:45:58,4,237.61,950.44,10,12,Delivered,0,UPI,1
ORD000092,CUST0141,STR026,RDR121,PRD012,2026-01-20,08:14:55,3,38.12,114.36,10,20,Delivered,1,Wallet,1
ORD000093,CUST2667,STR028,RDR005,PRD024,2025-08-29,08:04:49,2,170.15,340.3,10,15,Delivered,1,UPI,1
ORD000094,CUST3727,STR006,RDR126,PRD016,2025-08-24,07:32:32,5,40.49,202.45,10,8,Delivered,0,Card,0
ORD000095,CUST4258,STR012,RDR239,PRD032,2025-12-25,11:40:38,4,141.19,564.76,10,8,Delivered,0,COD,0
ORD000096,CUST3379,STR013,RDR310,PRD014,2026-02-18,18:48:16,1,69.5,69.5,10,17,Delivered,0,UPI,1
ORD000097,CUST1861,STR029,RDR009,PRD038,2026-01-17,19:31:12,2,163.26,326.52,10,34,Delivered,1,UPI,1
ORD000098,CUST3551,STR003,RDR198,PRD010,2026-05-18,20:45:29,1,275.23,275.23,10,9,Delivered,1,Card,0
ORD000099,CUST4174,STR007,RDR013,PRD001,2026-05-01,21:02:59,1,69.79,69.79,10,12,Delivered,0,Card,1
ORD000100,CUST4211,STR002,RDR391,PRD034,2025-07-31,21:25:21,5,250.91,1254.55,10,18,Delivered,0,Card,1
ORD000101,CUST3231,STR008,RDR142,PRD010,2026-02-22,22:04:09,2,275.23,550.46,10,16,Delivered,0,UPI,1
ORD000102,CUST0307,STR009,RDR084,PRD037,2025-07-22,09:12:26,3,490.51,1471.53,10,34,Returned,1,Card,1
ORD000103,CUST2709,STR021,RDR456,PRD024,2025-07-03,13:29:58,4,170.15,680.6,10,8,Returned,0,Card,0
ORD000104,CUST4848,STR010,RDR488,PRD033,2025-08-30,22:43:17,3,346.12,1038.36,10,14,Delivered,0,COD,1
ORD000105,CUST0665,STR008,RDR154,PRD033,2025-07-05,09:35:14,3,346.12,1038.36,10,35,Delivered,1,UPI,1
ORD000106,CUST4030,STR030,RDR451,PRD002,2026-05-02,08:49:20,3,39.96,119.88,10,33,Cancelled,0,Wallet,1
ORD000107,CUST0070,STR005,RDR408,PRD021,2026-05-16,18:27:54,5,192.65,963.25,10,15,Delivered,0,Card,1
ORD000108,CUST2705,STR004,RDR159,PRD024,2025-12-12,08:59:50,3,170.15,510.45,10,10,Delivered,0,UPI,0
ORD000109,CUST0533,STR015,RDR071,PRD019,2025-08-23,07:39:00,5,238.28,1191.4,10,33,Delivered,0,Card,1
ORD000110,CUST3286,STR014,RDR362,PRD031,2025-06-29,08:31:38,4,188.39,753.56,10,15,Delivered,0,COD,1
ORD000111,CUST0602,STR010,RDR371,PRD038,2026-01-30,18:42:20,1,163.26,163.26,10,8,Delivered,0,COD,0
ORD000112,CUST2984,STR006,RDR018,PRD038,2026-03-23,13:45:30,3,163.26,489.78,10,24,Cancelled,0,UPI,1
ORD000113,CUST2579,STR030,RDR217,PRD021,2026-04-11,07:02:53,4,192.65,770.6,10,26,Delivered,0,COD,1
ORD000114,CUST1657,STR024,RDR465,PRD003,2025-10-26,11:00:55,2,147.17,294.34,10,8,Delivered,0,UPI,0
ORD000115,CUST4137,STR009,RDR378,PRD033,2025-08-03,07:40:23,2,346.12,692.24,10,16,Delivered,0,Card,1
